Data,Hora,Estacao,Codigo,Poluente,Valor,Unidade,Tipo
2022-01-02,15:00:00,Suape,PE06,SO2,9.8,ug/m3,Automática
2022-01-02,16:00:00,Suape,PE06,SO2,10.0,ug/m3,Automática
2022-01-03,08:00:00,Suape,PE06,CO,0.1,ug/m3,Automática
2022-01-03,09:00:00,Suape,PE06,CO,0.1,ug/m3,Automática
2022-01-03,10:00:00,Suape,PE06,CO,0.1,ug/m3,Automática
2022-01-03,01:00:00,Suape,PE06,CO,0.2,ug/m3,Automática
2022-01-03,02:00:00,Suape,PE06,CO,0.2,ug/m3,Automática
2022-01-03,03:00:00,Suape,PE06,CO,0.2,ug/m3,Automática
2022-01-03,04:00:00,Suape,PE06,CO,0.2,ug/m3,Automática
2022-01-03,05:00:00,Suape,PE06,CO,0.2,ug/m3,Automática
2022-01-03,06:00:00,Suape,PE06,CO,0.2,ug/m3,Automática
2022-01-03,07:00:00,Suape,PE06,CO,0.2,ug/m3,Automática
2022-01-03,11:00:00,Suape,PE06,CO,0.2,ug/m3,Automática
2022-01-03,12:00:00,Suape,PE06,CO,0.2,ug/m3,Automática
2022-01-03,13:00:00,Suape,PE06,CO,0.2,ug/m3,Automática
2022-01-03,14:00:00,Suape,PE06,CO,0.2,ug/m3,Automática
2022-01-03,15:00:00,Suape,PE06,CO,0.2,ug/m3,Automática
2022-01-03,16:00:00,Suape,PE06,CO,0.2,ug/m3,Automática
2022-01-03,17:00:00,Suape,PE06,CO,0.2,ug/m3,Automática
2022-01-03,18:00:00,Suape,PE06,CO,0.2,ug/m3,Automática
2022-01-03,19:00:00,Suape,PE06,CO,0.3,ug/m3,Automática
2022-01-03,20:00:00,Suape,PE06,CO,0.3,ug/m3,Automática
2022-01-03,21:00:00,Suape,PE06,CO,0.3,ug/m3,Automática
2022-01-03,22:00:00,Suape,PE06,CO,0.3,ug/m3,Automática
2022-01-03,23:00:00,Suape,PE06,CO,0.3,ug/m3,Automática
2022-01-03,00:00:00,Suape,PE06,CO,0.3,ug/m3,Automática
2022-01-03,11:00:00,Suape,PE06,MP10,14.0,ug/m3,Automática
2022-01-03,07:00:00,Suape,PE06,MP10,16.0,ug/m3,Automática
2022-01-03,14:00:00,Suape,PE06,MP10,17.0,ug/m3,Automática
2022-01-03,12:00:00,Suape,PE06,MP10,19.0,ug/m3,Automática
2022-01-03,04:00:00,Suape,PE06,MP10,20.0,ug/m3,Automática
2022-01-03,15:00:00,Suape,PE06,MP10,21.0,ug/m3,Automática
2022-01-03,06:00:00,Suape,PE06,MP10,22.0,ug/m3,Automática
2022-01-03,13:00:00,Suape,PE06,MP10,22.0,ug/m3,Automática
2022-01-03,05:00:00,Suape,PE06,MP10,23.0,ug/m3,Automática
2022-01-03,10:00:00,Suape,PE06,MP10,24.0,ug/m3,Automática
